publish_date,media_name,title,url,date,year,month,year_month,week,title_clean
2026-02-05,syracuse.com,Gov. Hochul’s emissions sleight-of-hand is no substitute for action (Your Letters),https://www.syracuse.com/opinion/2026/02/gov-hochuls-emissions-sleight-of-hand-is-no-substitute-for-action-your-letters.html,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Gov. Hochul’s emissions sleight-of-hand is no substitute for action (Your Letters)
2026-02-05,pressrepublican.com,Clean energy should not come at the cost of local control,https://www.pressrepublican.com/opinion/clean-energy-should-not-come-at-the-cost-of-local-control/article_5a92a210-492c-4b9f-bfe0-a6ebd81948f5.html,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,Clean energy should not come at the cost of local control
2026-02-05,reuters.com,European Investment Bank front loads 3 billion euros to soothe carbon market concerns,https://www.reuters.com/sustainability/climate-energy/european-investment-bank-front-loads-3-billion-euros-soothe-carbon-market-2026-02-05/,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,European Investment Bank front loads 3 billion euros to soothe carbon market concerns
2026-02-05,reuters.com,EU weighing options to support industry in carbon market overhaul,https://www.reuters.com/sustainability/climate-energy/eu-weighing-options-support-industry-carbon-market-overhaul-2026-02-05/,2026-02-05,2026,2,2026-02,2026-02-02/2026-02-08,EU weighing options to support industry in carbon market overhaul
2026-02-04,benzinga.com,CONFED and EcoGuard Global Sign Agreement at WEF Davos to Build the Philippines' First Digital Carbon Office on Hedera,https://www.benzinga.com/pressreleases/26/02/n50400799/confed-and-ecoguard-global-sign-agreement-at-wef-davos-to-build-the-philippines-first-digital-carb?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,CONFED and EcoGuard Global Sign Agreement at WEF Davos to Build the Philippines' First Digital Carbon Office on Hedera
2026-02-04,huffpost.com,Future Winter Olympics Could Be Held Earlier Because Of Climate Change: IOC,https://www.huffpost.com/entry/winter-olympics-climate-crisis_n_698332b6e4b053ac3e163e9f,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,Future Winter Olympics Could Be Held Earlier Because Of Climate Change: IOC
2026-02-04,theguardian.com,"Australia’s long, complicated energy transition is finally working – and not a moment too soon",https://www.theguardian.com/commentisfree/2026/feb/04/australia-energy-transition-renewables,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,"Australia’s long, complicated energy transition is finally working – and not a moment too soon"
2026-02-04,grist.org,Inside the polarizing plan to stash carbon in a California wetland,https://grist.org/solutions/inside-the-polarizing-plan-to-stash-carbon-in-a-california-wetland/,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,Inside the polarizing plan to stash carbon in a California wetland
2026-02-04,abcnews.go.com,How climate change will make hosting the Winter Olympics more challenging,https://abcnews.go.com/International/climate-change-make-hosting-winter-olympics-challenging/story?id=129814754,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,How climate change will make hosting the Winter Olympics more challenging
2026-02-04,reuters.com,"Exclusive: EU rethinks climate diplomacy after bruising COP30 summit, document shows",https://www.reuters.com/sustainability/cop/eu-rethinks-climate-diplomacy-after-bruising-cop30-summit-document-shows-2026-02-04/,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,"Exclusive: EU rethinks climate diplomacy after bruising COP30 summit, document shows"
2026-02-04,benzinga.com,Robin Zeng: Unlocking the Sustainable Energy Era with Zero-Carbon Technology,https://www.benzinga.com/pressreleases/26/02/n50383530/robin-zeng-unlocking-the-sustainable-energy-era-with-zero-carbon-technology?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,Robin Zeng: Unlocking the Sustainable Energy Era with Zero-Carbon Technology
2026-02-04,benzinga.com,"Savor Launches Personal Care Beauty Division, Bringing Carbon-Based Platform to Cosmetics Industry",https://www.benzinga.com/pressreleases/26/02/n50376711/savor-launches-personal-care-beauty-division-bringing-carbon-based-platform-to-cosmetics-industry?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,"Savor Launches Personal Care Beauty Division, Bringing Carbon-Based Platform to Cosmetics Industry"
2026-02-04,benzinga.com,"Nuveen's Sixth Annual EQuilibrium Global Institutional Investor Survey: Institutional Investors Identify AI, Energy Transition and Deglobalization as Key Megatrends Reshaping Investment Strategy",https://www.benzinga.com/pressreleases/26/02/n50367035/nuveens-sixth-annual-equilibrium-global-institutional-investor-survey-institutional-investors-iden?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-04,2026,2,2026-02,2026-02-02/2026-02-08,"Nuveen's Sixth Annual EQuilibrium Global Institutional Investor Survey: Institutional Investors Identify AI, Energy Transition and Deglobalization as Key Megatrends Reshaping Investment Strategy"
2026-02-03,techcrunch.com,India's Varaha bags $20M to scale carbon removal from the Global South,https://techcrunch.com/2026/02/03/indias-varaha-bags-20m-to-scale-carbon-removal-from-the-global-south/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,India's Varaha bags $20M to scale carbon removal from the Global South
2026-02-03,pilotonline.com,Editorial: Virginia poised to rejoin market-based carbon reduction program,https://www.pilotonline.com/2026/02/03/editorial-virginia-poised-to-rejoin-market-based-carbon-reduction-program/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,Editorial: Virginia poised to rejoin market-based carbon reduction program
2026-02-03,dailycaller.com,"Republicans Let 'Carbon Tax Framework' Slip Through Funding Bill, Opponents Warn",https://dailycaller.com/2026/02/03/congressional-republicans-carbon-taxes-tariffs-european-union/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,"Republicans Let 'Carbon Tax Framework' Slip Through Funding Bill, Opponents Warn"
2026-02-03,bostonglobe.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.bostonglobe.com/2026/02/03/nation/climate-change-cold-snaps-psychology/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,theguardian.com,‘It’s sick’: Trump administration uses mascot called ‘Coalie’ to push dirtiest fossil fuel,https://www.theguardian.com/us-news/2026/feb/03/trump-administration-coalie-mascot-fossil-fuels,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,‘It’s sick’: Trump administration uses mascot called ‘Coalie’ to push dirtiest fossil fuel
2026-02-03,sandiegouniontribune.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.sandiegouniontribune.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,sun-sentinel.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.sun-sentinel.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,pilotonline.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.pilotonline.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,baltimoresun.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.baltimoresun.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,orlandosentinel.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.orlandosentinel.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,ocregister.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.ocregister.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,courant.com,How climate change and human psychology make this US cold snap feel so harsh,https://www.courant.com/2026/02/03/climate-winter-weather-out-of-practice/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,How climate change and human psychology make this US cold snap feel so harsh
2026-02-03,theconversation.com,Climate change threatens the Winter Olympics’ future – and even snowmaking has limits for saving the Games,https://theconversation.com/climate-change-threatens-the-winter-olympics-future-and-even-snowmaking-has-limits-for-saving-the-games-274800,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,Climate change threatens the Winter Olympics’ future – and even snowmaking has limits for saving the Games
2026-02-03,upi.com,Climate change threatens the Winter Olympics' future,https://www.upi.com/Voices/2026/02/03/winter-olympics-climate-change-future-snow-machines/5411770127927/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,Climate change threatens the Winter Olympics' future
2026-01-19,foxnews.com,Massive Minnesota fraud case puts AG Keith Ellison under microscope as climate ties resurface,https://www.foxnews.com/politics/massive-minnesota-fraud-case-puts-ag-keith-ellison-under-microscope-climate-ties-resurface,2026-01-19,2026,1,2026-01,2026-01-19/2026-01-25,Massive Minnesota fraud case puts AG Keith Ellison under microscope as climate ties resurface
2026-02-03,livescience.com,Trippy 'biomass' snap reveals first detailed look at our planet's carbon stores — Earth from space,https://www.livescience.com/planet-earth/trippy-biomass-snap-reveals-first-detailed-look-at-our-planets-carbon-stores-earth-from-space,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,Trippy 'biomass' snap reveals first detailed look at our planet's carbon stores — Earth from space
2026-02-03,ictnews.org,Feds greenlight $2B renewable energy project on Yakama Nation sacred site,https://ictnews.org/news/feds-greenlight-2b-renewable-energy-project-on-yakama-nation-sacred-site/,2026-02-03,2026,2,2026-02,2026-02-02/2026-02-08,Feds greenlight $2B renewable energy project on Yakama Nation sacred site
2026-02-02,cbsnews.com,"Carbon monoxide may have killed NYC vet, dog in animal care van",https://www.cbsnews.com/newyork/video/carbon-monoxide-may-have-killed-nyc-vet-dog-in-animal-care-van/,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,"Carbon monoxide may have killed NYC vet, dog in animal care van"
2026-02-02,theconversation.com,Addressing climate change without the ‘rules-based order’,https://theconversation.com/addressing-climate-change-without-the-rules-based-order-273745,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,Addressing climate change without the ‘rules-based order’
2026-02-02,theconversation.com,Greenland’s ‘green mining’ row highlights the key tensions in the energy transition,https://theconversation.com/greenlands-green-mining-row-highlights-the-key-tensions-in-the-energy-transition-274336,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,Greenland’s ‘green mining’ row highlights the key tensions in the energy transition
2026-02-02,theguardian.com,"Cop City case could trigger more charges against US protesters, attorney says",https://www.theguardian.com/us-news/2026/feb/02/cop-city-atlanta-police-case-appeal,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,"Cop City case could trigger more charges against US protesters, attorney says"
2026-02-02,reuters.com,Czech leader urges EU to overhaul carbon trading schemes to curb energy costs,https://www.reuters.com/sustainability/boards-policy-regulation/czech-leader-urges-eu-overhaul-carbon-trading-schemes-curb-energy-costs-2026-02-02/,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,Czech leader urges EU to overhaul carbon trading schemes to curb energy costs
2026-02-02,theconversation.com,Trump’s climate policy rollback plan relies on EPA rescinding its 2009 endangerment finding – but will courts allow it?,https://theconversation.com/trumps-climate-policy-rollback-plan-relies-on-epa-rescinding-its-2009-endangerment-finding-but-will-courts-allow-it-274194,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,Trump’s climate policy rollback plan relies on EPA rescinding its 2009 endangerment finding – but will courts allow it?
2026-02-02,reuters.com,"Shortages of new aircraft, fuel put emissions goal at risk, IATA's Walsh says",https://www.reuters.com/sustainability/shortages-new-aircraft-fuel-put-emissions-goal-risk-iatas-walsh-says-2026-02-02/,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,"Shortages of new aircraft, fuel put emissions goal at risk, IATA's Walsh says"
2026-02-02,benzinga.com,"Eldorado and Foran Combine to Create a Leading Gold and Copper Producer - Eldorado Gold (NYSE:EGO), Foran Mining (OTC:FMCXF)",https://www.benzinga.com/pressreleases/26/02/n50292504/eldorado-and-foran-combine-to-create-a-leading-gold-and-copper-producer?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-02-02,2026,2,2026-02,2026-02-02/2026-02-08,"Eldorado and Foran Combine to Create a Leading Gold and Copper Producer - Eldorado Gold (NYSE:EGO), Foran Mining (OTC:FMCXF)"
2026-02-01,ocregister.com,Climate change limiting future Olympic sites,https://www.ocregister.com/2026/02/01/climate-change-limiting-future-olympic-sites/,2026-02-01,2026,2,2026-02,2026-01-26/2026-02-01,Climate change limiting future Olympic sites
2026-02-01,theguardian.com,Fossil fuel firms may have to pay for climate damage under proposed UN tax,https://www.theguardian.com/environment/2026/feb/01/fossil-fuel-firms-may-have-to-pay-for-climate-damage-under-proposed-un-tax,2026-02-01,2026,2,2026-02,2026-01-26/2026-02-01,Fossil fuel firms may have to pay for climate damage under proposed UN tax
2026-02-01,chicagotribune.com,Letters: Illinois families can’t keep paying the bill for climate change damages,https://www.chicagotribune.com/2026/02/01/letters-020126-illinois-climate-change-superfund/,2026-02-01,2026,2,2026-02,2026-01-26/2026-02-01,Letters: Illinois families can’t keep paying the bill for climate change damages
2026-01-31,nbcnews.com,How snowboarder Bea Kim fights climate change through her words and wardrobe,https://www.nbcnews.com/sports/olympics/snowboarder-bea-kim-fights-climate-change-words-wardrobe-rcna256766,2026-01-31,2026,1,2026-01,2026-01-26/2026-02-01,How snowboarder Bea Kim fights climate change through her words and wardrobe
2026-01-31,seattletimes.com,California’s iconic Highway 1 is fighting a losing battle against climate change. Can it survive?,https://www.seattletimes.com/nation-world/californias-iconic-highway-1-is-fighting-a-losing-battle-against-climate-change-can-it-survive/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,2026-01-31,2026,1,2026-01,2026-01-26/2026-02-01,California’s iconic Highway 1 is fighting a losing battle against climate change. Can it survive?
2026-01-31,syracuse.com,Gov. Kathy Hochul could change New York’s emissions math again,https://www.syracuse.com/news/2026/01/gov-kathy-hochul-could-change-new-yorks-emissions-math-again.html,2026-01-31,2026,1,2026-01,2026-01-26/2026-02-01,Gov. Kathy Hochul could change New York’s emissions math again
2026-01-30,time.com,"U.S. Snow Storms and Australia's Heat Wave, Is This Climate Change?",https://time.com/7362792/snow-north-america-australia-heat-wave-climate/,2026-01-30,2026,1,2026-01,2026-01-26/2026-02-01,"U.S. Snow Storms and Australia's Heat Wave, Is This Climate Change?"
2026-01-30,time.com,Investing in Renewables Is an Investment in Peace,https://time.com/7358460/renewable-energy-peace-democracy-venezuela/,2026-01-30,2026,1,2026-01,2026-01-26/2026-02-01,Investing in Renewables Is an Investment in Peace
2026-01-30,benzinga.com,"Statement by the Honourable Julie Dabrusin, Minister of the Environment, Climate Change and Nature, on the Federal Court of Appeal's decision regarding the listing of plastic manufactured items under the Canadian Environmental Protection Act, 1999",https://www.benzinga.com/pressreleases/26/01/n50279723/statement-by-the-honourable-julie-dabrusin-minister-of-the-environment-climate-change-and-nature-o?utm_source=benzinga_taxonomy&utm_medium=rss_feed_free&utm_content=taxonomy_rss&utm_campaign=channel,2026-01-30,2026,1,2026-01,2026-01-26/2026-02-01,"Statement by the Honourable Julie Dabrusin, Minister of the Environment, Climate Change and Nature, on the Federal Court of Appeal's decision regarding the listing of plastic manufactured items under the Canadian Environmental Protection Act, 1999"
2026-01-30,theguardian.com,Australia’s grid now relies on renewable energy as much as coal. Those who doubted it look foolish,https://www.theguardian.com/environment/2026/jan/31/australias-grid-now-relies-on-renewable-energy-as-much-as-coal-those-who-doubted-it-look-foolish,2026-01-30,2026,1,2026-01,2026-01-26/2026-02-01,Australia’s grid now relies on renewable energy as much as coal. Those who doubted it look foolish
2026-01-30,livescience.com,"Thousands of dams in the US are old, damaged and unable to cope with extreme weather. How bad is it?",https://www.livescience.com/planet-earth/thousands-of-dams-in-the-us-are-old-damaged-and-unable-to-cope-with-extreme-weather-how-bad-is-it,2026-01-30,2026,1,2026-01,2026-01-26/2026-02-01,"Thousands of dams in the US are old, damaged and unable to cope with extreme weather. How bad is it?"
2026-01-30,bloomberg.com,Trump’s Greenland Threats Put Crucial Climate Change Research at Risk,https://www.bloomberg.com/news/articles/2026-01-30/trump-s-greenland-threats-put-crucial-climate-change-research-at-risk,2026-01-30,2026,1,2026-01,2026-01-26/2026-02-01,Trump’s Greenland Threats Put Crucial Climate Change Research at Risk
2026-01-29,bloomberg.com,Southern Africa Floods That Killed 300 Fueled by Global Warming,https://www.bloomberg.com/news/articles/2026-01-29/southern-africa-floods-that-killed-300-fueled-by-global-warming,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,Southern Africa Floods That Killed 300 Fueled by Global Warming
2026-01-29,fortune.com,"Asia is one of the world's least insured places, even as it's battered by climate change and natural disasters",https://fortune.com/2026/01/29/asia-least-insured-places-climate-change-natural-disasters/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Asia is one of the world's least insured places, even as it's battered by climate change and natural disasters"
2026-01-29,fortune.com,"Climate change mans Southern Africa got a year's worth of rain in just 10 days, killing over 100 people",https://fortune.com/2026/01/29/climate-change-mans-southern-africa-got-a-years-worth-of-rain-in-just-10-days-killing-over-100-people/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change mans Southern Africa got a year's worth of rain in just 10 days, killing over 100 people"
2026-01-29,latimes.com,Why the concrete in data centers is a hidden source of carbon emissions,https://www.latimes.com/business/story/2026-01-29/why-concrete-in-data-centers-is-hidden-source-of-carbon-emissions,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,Why the concrete in data centers is a hidden source of carbon emissions
2026-01-29,theconversation.com,How to cut harmful emissions from ditches and canals – new research,https://theconversation.com/how-to-cut-harmful-emissions-from-ditches-and-canals-new-research-273251,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,How to cut harmful emissions from ditches and canals – new research
2026-01-29,sandiegouniontribune.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.sandiegouniontribune.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
2026-01-29,theguardian.com,Donald Trump’s perverse policy on climate change,https://www.theguardian.com/us-news/2026/jan/29/donald-trump-perverse-policy-on-climate-change,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,Donald Trump’s perverse policy on climate change
2026-01-29,scientificamerican.com,Svalbard’s polar bears are showing remarkable resilience to climate change,https://www.scientificamerican.com/article/svalbards-polar-bears-are-showing-remarkable-resilience-to-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,Svalbard’s polar bears are showing remarkable resilience to climate change
2026-01-29,twincities.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.twincities.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
2026-01-29,arstechnica.com,States want to tax fossil fuel companies to create climate change superfunds,https://arstechnica.com/tech-policy/2026/01/states-want-to-charge-fossil-fuel-companies-for-climate-change-superfunds/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,States want to tax fossil fuel companies to create climate change superfunds
2026-01-29,courant.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.courant.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
2026-01-29,orlandosentinel.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.orlandosentinel.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
2026-01-29,baltimoresun.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.baltimoresun.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
2026-01-29,ocregister.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.ocregister.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
2026-01-29,pilotonline.com,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows",https://www.pilotonline.com/2026/01/29/africa-floods-climate-change/,2026-01-29,2026,1,2026-01,2026-01-26/2026-02-01,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows"
